Diagnosed Diabetes; Age-Adjusted; Percentage; Adults Aged 20+ Years; North Carolina Counties; 2011
Data downloaded on 7-April-2020
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Stokes County,North Carolina,37169,9.5,7.0,12.3
Surry County,North Carolina,37171,11.7,8.9,15.0
Swain County,North Carolina,37173,14.1,11.5,16.9
Transylvania County,North Carolina,37175,7.5,5.7,9.9
Tyrrell County,North Carolina,37177,11.9,8.7,15.8
Union County,North Carolina,37179,8.3,7.1,9.6
Vance County,North Carolina,37181,12.5,9.7,15.8
Wake County,North Carolina,37183,7.7,6.8,8.7
Warren County,North Carolina,37185,12.4,9.5,16.0
Washington County,North Carolina,37187,11.7,8.8,15.1
Watauga County,North Carolina,37189,10.1,7.8,12.7
Wayne County,North Carolina,37191,11.2,9.7,12.9
Wilkes County,North Carolina,37193,10.4,8.3,12.8
Wilson County,North Carolina,37195,11.6,9.1,14.3
Yadkin County,North Carolina,37197,8.3,6.1,10.9
Yancey County,North Carolina,37199,9.2,6.8,12.4
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
