Diagnosed Diabetes; Age-Adjusted; Percentage; Adults Aged 20+ Years; North Carolina Counties; 2016
Data downloaded on 7-April-2020
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Henderson County,North Carolina,37089,7.2,4.7,10.0
Hertford County,North Carolina,37091,19.2,12.4,27.3
Hoke County,North Carolina,37093,12.7,7.8,18.5
Hyde County,North Carolina,37095,18.1,7.8,34.9
Iredell County,North Carolina,37097,10.4,7.0,14.2
Jackson County,North Carolina,37099,7.0,4.4,10.5
Johnston County,North Carolina,37101,8.8,6.0,12.0
Jones County,North Carolina,37103,27.2,13.0,49.3
Lee County,North Carolina,37105,9.8,5.9,14.6
Lenoir County,North Carolina,37107,15.3,9.9,21.0
Lincoln County,North Carolina,37109,10.1,5.2,17.2
Macon County,North Carolina,37113,10.3,5.9,16.2
Madison County,North Carolina,37115,5.1,2.4,9.8
Martin County,North Carolina,37117,10.0,5.4,17.8
Mcdowell County,North Carolina,37111,10.4,7.1,14.7
Mecklenburg County,North Carolina,37119,8.7,7.4,10.0
Mitchell County,North Carolina,37121,14.0,5.0,28.5
Montgomery County,North Carolina,37123,12.5,5.7,22.7
Moore County,North Carolina,37125,8.6,5.4,12.7
Nash County,North Carolina,37127,12.8,8.2,19.3
New Hanover County,North Carolina,37129,6.8,5.0,8.9
Northampton County,North Carolina,37131,18.1,10.4,27.4
Onslow County,North Carolina,37133,11.0,8.1,14.1
Orange County,North Carolina,37135,5.6,3.4,8.6
Pamlico County,North Carolina,37137,12.0,5.6,21.3
Pasquotank County,North Carolina,37139,10.0,6.9,14.4
Pender County,North Carolina,37141,15.0,9.4,22.2
Perquimans County,North Carolina,37143,13.1,7.5,21.0
Person County,North Carolina,37145,7.4,3.5,13.5
Pitt County,North Carolina,37147,9.5,7.2,12.2
Polk County,North Carolina,37149,11.0,5.1,20.2
Randolph County,North Carolina,37151,9.7,6.2,14.3
Richmond County,North Carolina,37153,17.4,11.0,25.4
Robeson County,North Carolina,37155,14.9,12.1,18.3
Rockingham County,North Carolina,37157,12.0,7.0,18.8
Rowan County,North Carolina,37159,12.3,8.4,17.3
Rutherford County,North Carolina,37161,10.5,6.3,16.2
Sampson County,North Carolina,37163,13.1,8.7,18.9
Scotland County,North Carolina,37165,16.7,10.8,24.0
Stanly County,North Carolina,37167,7.8,4.1,13.4
Stokes County,North Carolina,37169,11.0,5.7,18.0
Surry County,North Carolina,37171,12.1,7.8,18.2
Swain County,North Carolina,37173,11.0,5.6,18.3
Transylvania County,North Carolina,37175,6.6,4.0,10.1
Tyrrell County,North Carolina,37177,10.9,4.5,21.7
Union County,North Carolina,37179,8.1,5.5,11.5
Vance County,North Carolina,37181,8.0,3.3,14.8
Wake County,North Carolina,37183,8.4,7.1,9.8
Warren County,North Carolina,37185,4.8,1.8,11.1
Washington County,North Carolina,37187,14.2,7.4,24.2
Watauga County,North Carolina,37189,6.8,3.5,11.1
Wayne County,North Carolina,37191,15.3,11.7,19.6
Wilkes County,North Carolina,37193,11.3,6.9,16.7
Wilson County,North Carolina,37195,12.3,7.8,17.8
Yadkin County,North Carolina,37197,8.9,3.6,18.2
Yancey County,North Carolina,37199,15.3,6.2,30.9
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
