Diagnosed Diabetes; Age-Adjusted; Percentage; Adults Aged 20+ Years; North Carolina Counties; 2006
Data downloaded on 7-April-2020
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Lincoln County,North Carolina,37109,9.0,7.0,11.3
Macon County,North Carolina,37113,7.7,6.0,9.8
Madison County,North Carolina,37115,8.8,6.4,11.5
Martin County,North Carolina,37117,11.6,9.3,14.4
Mcdowell County,North Carolina,37111,9.9,7.7,12.7
Mecklenburg County,North Carolina,37119,7.7,6.9,8.5
Mitchell County,North Carolina,37121,9.9,7.4,12.6
Montgomery County,North Carolina,37123,9.9,7.7,12.3
Moore County,North Carolina,37125,8.6,7.0,10.4
Nash County,North Carolina,37127,10.4,8.8,12.4
New Hanover County,North Carolina,37129,8.3,7.2,9.6
Northampton County,North Carolina,37131,12.9,10.3,15.7
Onslow County,North Carolina,37133,10.2,8.9,11.6
Orange County,North Carolina,37135,7.5,6.4,8.8
Pamlico County,North Carolina,37137,9.2,7.1,11.6
Pasquotank County,North Carolina,37139,10.4,8.4,12.8
Pender County,North Carolina,37141,9.0,6.9,11.3
Perquimans County,North Carolina,37143,10.0,7.7,12.9
Person County,North Carolina,37145,9.1,7.2,11.2
Pitt County,North Carolina,37147,9.9,8.7,11.3
Polk County,North Carolina,37149,7.9,5.9,10.3
Randolph County,North Carolina,37151,7.9,6.8,9.1
Richmond County,North Carolina,37153,9.2,7.4,11.3
Robeson County,North Carolina,37155,12.0,10.7,13.4
Rockingham County,North Carolina,37157,10.4,8.4,12.6
Rowan County,North Carolina,37159,11.6,10.2,13.0
Rutherford County,North Carolina,37161,9.5,7.6,11.6
Sampson County,North Carolina,37163,10.2,8.3,12.5
Scotland County,North Carolina,37165,11.4,9.1,13.8
Stanly County,North Carolina,37167,8.8,7.1,10.8
Stokes County,North Carolina,37169,9.7,7.4,12.3
Surry County,North Carolina,37171,8.7,6.8,10.9
Swain County,North Carolina,37173,9.9,7.9,12.2
Transylvania County,North Carolina,37175,8.1,6.2,10.6
Tyrrell County,North Carolina,37177,10.0,7.7,12.7
Union County,North Carolina,37179,8.0,6.9,9.4
Vance County,North Carolina,37181,11.6,9.5,14.1
Wake County,North Carolina,37183,7.4,6.4,8.4
Warren County,North Carolina,37185,12.1,9.7,14.9
Washington County,North Carolina,37187,10.0,7.8,12.5
Watauga County,North Carolina,37189,7.8,6.2,9.8
Wayne County,North Carolina,37191,10.1,8.6,11.8
Wilkes County,North Carolina,37193,9.7,8.0,11.7
Wilson County,North Carolina,37195,10.5,8.7,12.7
Yadkin County,North Carolina,37197,9.0,6.8,11.7
Yancey County,North Carolina,37199,7.7,5.7,10.1
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
